Name,Current Residence,Age
Lizzie Binder,"San Francisco, California",37
Chrissy Camba,"Chicago, Illinois",31
Micah Fields,"Los Angeles, California",28
Eliza Gavin,"Telluride, Colorado",38
CJ Jacobson,"Studio City, California",36
Jeffrey Jew,"St. Petersburg, Florida",34
Kristen Kish,"Boston, Massachusetts",28
Danyele McPherson,"Dallas, Texas",31
Carla Pellegrino,"Las Vegas, Nevada",43
Stefan Richter,"Santa Monica, California",40
Sheldon Simeon,"Lahaina, Hawaii",30
Josie SmithMalave,"San Francisco, California",37
John Tesar,"Dallas, Texas",54
Josh Valentine,"Dallas, Texas",33
Bart Vandaele,"Washington, D.C.",42
Tyler Wiard,"Denver, Colorado",41
Brooke Williamson,"Redondo Beach, California",34
Kuniko Yagi,"Los Angeles, California",35
