Name,Current Residence,Age
Doug Adams,"Portland, Oregon",29
Stacy Cogswell,"Boston, Massachusetts",33
Joy Crump,"Fredericksburg, Virginia",46
Ron Eyester,"Atlanta, Georgia",40
Gregory Gourdet,"Portland, Oregon",39
Aaron Grissom,"North Hollywood, California",27
Adam Harvey,"New York, New York",29
Rebecca LaMalfa,"Chicago, Illinois",32
Mei Lin,"Los Angeles, California",28
Melissa King,"San Francisco, California",30
George Pagonis,"Washington, D.C.",0
Michael Patlazhan,"Brooklyn, New York",31
Keriann VonRaesfeld,"San Jose, California",28
James Rigato,"White Lake, Michigan",29
Katsuji Tanabe,"Los Angeles, California",33
Katie Weinner,"Salt Lake City, Utah",0
