Name,Current Residence,Age
Zoi Antonitsas,"San Francisco, California",30
Jennifer Biesty,"San Francisco, California",35
Richard Blais,"Atlanta, Georgia",35
Valerie Bolon,"Chicago, Illinois",32
Nikki Cascone,"New York, New York",35
Andrew DAmbrosi,"New York, New York",30
Lisa Fernandes,"New York, New York",27
Erik Hopfinger,"San Francisco, California",38
Stephanie Izard,"Chicago, Illinois",31
Antonia Lofaso,"Los Angeles, California",31
Spike Mendelsohn,"Washington, D.C.",27
Nimma Osman,"Atlanta, Georgia",26
Mark Simmons,"New York, New York",29
Ryan Scott,"San Francisco, California",28
Dale Talde,"New York, New York",29
Manuel Trevino,"New York, New York",33
