Name,Current Residence,Age
Karen Akunowicz,"Boston, Massachusetts",37
Angelina Bastidas,"Miami, Florida",25
Carl Dooley,"Boston, Massachusetts",30
Garret Fleming,"Washington, D.C.",33
Jeremy Ford,"Miami, Florida",30
Renee Kelly,"Merriam, Kansas",34
Phillip Lee,"Los Angeles, California",28
Marjorie MeekBradley,"Washington, D.C.",30
Kwame Onwuachi,"Washington, D.C.",25
Amar Santana,"Orange County, California",33
Grayson Schmitz,"New York, New York",32
Jason Stratton,"Seattle, Washington",35
Frances TarigaWeshnak,"New York, New York",33
Isaac Toups,"New Orleans, Louisiana",36
Wesley True,"Atlanta, Georgia",38
Giselle Wellman,"Los Angeles, California",31
Chad White,"San Diego, California",32
