Name,Current Residence,Age
Eve Aronoff,"Ann Arbor, Michigan",40
Jennifer Carroll,"Philadelphia, Pennsylvania",33
Ron Duprat,"Naples, Florida",40
Ash Fulk,"New York, New York",29
Kevin Gillespie,"Atlanta, Georgia",26
Mike Isabella,"Washington, D.C.",34
Eli Kirshtein,"Atlanta, Georgia",25
Robin Leventhal,"Seattle, Washington",43
Ashley Merriman,"Seattle, Washington",32
Preeti Mistry,"San Francisco, California",33
Mattin Noblia,"San Francisco, California",29
Jesse Sandlin,"Baltimore, Maryland",30
Hector Santiago,"Atlanta, Georgia",41
Bryan Voltaggio,"Urbana, Maryland",33
Michael Voltaggio,"Pasadena, California",30
Laurine Wickett,"San Francisco, California",38
Jennifer Zavala,"Philadelphia, Pennsylvania",31
