Name,Current Residence,Age
Bene Bartolotta,"New York, New York",27
Ramon Bojorquez,"San Diego, California",31
Janine Booth,"New York, New York",25
Shirley Chung,"Las Vegas, Nevada",36
Jason Cichonski,"Philadelphia, Pennsylvania",27
Stephanie Cmar,"Boston, Massachusetts",28
Nina Compton,"Miami, Florida",34
Aaron Cuschieri,"Chicago, Illinois",29
Justin Devillier,"New Orleans, Louisiana",0
Nicholas Elmi,"Philadelphia, Pennsylvania",32
Carlos Gaytan,"Chicago, Illinois",42
Brian Huskey,"Los Angeles, California",32
Sara Johannes,"Minneapolis, Minnesota",0
Louis Maldonado,"Healdsburg, California",32
Travis Masar,"Philadelphia, Pennsylvania",27
Carrie Mashaney,"Seattle, Washington",35
Bret Pelaggi,"Miami, Florida",34
Michael Sichel,"New Orleans, Louisiana",0
Patty Vega,"New York, New York",29
