Name,Current Residence,Age
Lia Bardeen,"Brooklyn, New York",28
Camille Becerra,"Brooklyn, New York",34
Sandee Birdsong,"Miami Beach, Florida",39
Clay Bowen,"Santa Barbara, California",28
Micah Edelstein,"Boca Raton, Florida",33
Hung Huynh,"Las Vegas, Nevada",29
CJ Jacobson,"Venice, California",31
Howie Kleinberg,"Miami, Florida",31
Dale Levitski,"Chicago, Illinois",34
SaraM Mair,"Miami, Florida",34
Brian Malarkey,"San Diego, California",34
SaraN Nguyen,"Chicago, Illinois",25
Joey Paulino,"New York, New York",29
Casey Thompson,"Dallas, Texas",29
Tre Wilcox,"Cedar Hill, Texas",30
